brand,car_age,km_driven,engine_capacity,mileage,previous_owners,fuel_type,transmission,selling_price
Toyota,7,101652,1242,18.650535982866344,2,CNG,Manual,279971
Tata,10,104304,2922,11.008838709510517,1,Petrol,Manual,1828420
Toyota,7,22772,1356,11.423769052325046,2,CNG,Automatic,1675552
BMW,1,108754,1978,24.98338918049936,1,Petrol,Manual,2073200
Tata,7,8712,2837,14.899588741388664,1,Diesel,Manual,1766049
Audi,5,137439,1162,21.222758680732696,1,Diesel,Automatic,597597
BMW,3,120142,2057,22.099975795402248,2,CNG,Manual,1661350
Hyundai,13,96736,2641,22.87034906510844,3,Petrol,Manual,1541502
Honda,3,56924,2650,24.964424461032348,2,Diesel,Automatic,1515502
Audi,4,8726,2972,13.622447278853018,1,Petrol,Manual,385784
Hyundai,13,94152,1710,10.605262402895496,1,Petrol,Automatic,1485412
Audi,12,32723,1044,16.167872769918787,2,Diesel,Manual,1399110
Tata,2,131969,1341,11.951210047434204,1,Petrol,Manual,1046462
Hyundai,2,105494,2969,10.336388337430828,1,Diesel,Manual,923879
Honda,1,145180,2972,15.406402407122291,2,Diesel,Automatic,2394621
BMW,5,40643,2372,21.756073766128544,2,Diesel,Automatic,1819814
Mercedes,4,108896,923,18.492710368376063,2,Petrol,Automatic,1644315
Toyota,11,144999,2531,14.69166983815531,1,Diesel,Automatic,1702718
Maruti,10,98680,1585,19.815130082390795,1,Petrol,Manual,1389325
Honda,2,101546,2843,13.48027270463216,3,Diesel,Automatic,1394737
Hyundai,3,84973,1596,10.215721691081276,3,Diesel,Automatic,598825
Mercedes,7,68449,876,21.46530079654641,2,CNG,Automatic,1955089
Honda,7,114834,858,19.35614627296014,3,CNG,Manual,2085547
Hyundai,12,30537,2323,21.4345393675144,1,CNG,Manual,1271512
Mahindra,4,82576,2736,10.584070250314983,3,Petrol,Automatic,2085190
Mahindra,5,112522,2956,22.556794417459784,1,Petrol,Automatic,701477
Honda,5,27612,2101,19.292893000544552,2,Diesel,Manual,1097691
Mahindra,6,11471,867,18.450930260689603,2,Diesel,Automatic,430596
Hyundai,14,36348,2732,19.369210721717973,1,Diesel,Automatic,1867906
Hyundai,9,6177,1164,22.96649870302546,3,Diesel,Automatic,999595
Honda,2,140832,1620,18.804047598383605,2,Petrol,Automatic,1916473
Mercedes,5,37779,2202,18.714255698322688,2,Diesel,Manual,1795283
BMW,12,26636,1746,24.860187355986486,3,Diesel,Manual,1633482
Audi,3,86889,2377,21.35095250602852,3,CNG,Manual,494358
Mercedes,4,58551,2177,16.63440708176703,1,Diesel,Automatic,1996870
Tata,10,147628,2239,20.610955000493917,3,Diesel,Automatic,726701
Hyundai,6,147635,1561,15.838457075376827,3,Diesel,Manual,1782369
Tata,12,51819,1140,13.433131937252485,3,Petrol,Manual,976041
Mercedes,8,78770,1182,18.95277815331639,1,CNG,Manual,1381753
Audi,1,83714,1803,23.92273147170927,1,Diesel,Automatic,1447752
Audi,10,29596,2356,23.93709280023194,2,Diesel,Manual,590447
Maruti,14,69106,1099,15.128579171582356,1,CNG,Automatic,700850
Audi,8,64182,938,17.915161993325427,2,Diesel,Automatic,1363473
BMW,11,92163,1158,13.174538478547918,3,Petrol,Manual,1306984
Audi,14,44310,1635,24.93446664248325,2,Diesel,Manual,316908
Mercedes,7,61088,2322,24.716768618019035,2,Petrol,Automatic,1852595
Maruti,1,133803,2427,19.742633945611708,3,Petrol,Manual,1051563
Mercedes,2,144978,2782,22.0662108951621,2,Diesel,Manual,1050712
Mercedes,3,41914,2103,20.7265024192555,1,CNG,Automatic,1366374
Toyota,1,115350,1708,18.897373285592025,1,Petrol,Automatic,841142
Maruti,14,50379,1934,10.800219954833466,1,CNG,Automatic,437902
Mercedes,9,51413,2986,16.821465138289916,1,Diesel,Automatic,2360231
Toyota,8,142084,1795,20.12179453251116,2,Petrol,Automatic,1794441
Toyota,2,12151,2951,20.16297420825527,2,Diesel,Manual,510258
Maruti,13,62716,2037,15.596839276335754,3,CNG,Automatic,682450
Tata,9,98747,2584,24.12537979987046,2,Diesel,Automatic,2098238
BMW,7,149539,964,12.510355483551715,2,Diesel,Automatic,1936916
Audi,9,126999,1798,17.50539169323341,2,Petrol,Manual,1315770
BMW,6,119793,2107,20.363259648262343,3,Diesel,Automatic,1719598
Audi,6,113177,1456,20.457037088377138,1,Diesel,Automatic,2409485
Mercedes,11,17289,2709,19.729584351532232,2,Diesel,Automatic,245807
Hyundai,14,91365,2846,14.129323201777902,3,Petrol,Manual,1766089
Maruti,4,119014,2911,12.34309853029933,3,CNG,Automatic,1635986
BMW,10,77588,1940,19.539104902400663,3,CNG,Automatic,860501
BMW,10,68646,2689,18.989531742091565,1,Diesel,Automatic,1758274
Mercedes,13,8654,1066,12.690340154338614,2,Petrol,Manual,828580
Tata,13,23743,2645,20.57708718355845,3,Diesel,Manual,847272
Toyota,2,53368,2508,16.827579876004847,1,CNG,Manual,738065
Mercedes,7,142513,2310,20.016408874047293,3,Petrol,Manual,509963
Mahindra,5,124735,1275,22.56050619655226,3,CNG,Automatic,1383493
Toyota,11,124891,1776,12.545926428653846,3,CNG,Automatic,747578
Maruti,6,112971,2007,10.28717301995255,3,Petrol,Manual,1623271
Toyota,2,17149,1843,21.6865387959368,3,Petrol,Manual,623915
Tata,5,105102,2760,19.145461377289237,1,Diesel,Automatic,2472476
Toyota,10,64189,1357,20.494593544331828,2,Diesel,Automatic,2133690
Maruti,4,76031,1817,22.57232462482964,2,CNG,Manual,1907229
Tata,9,47668,2405,22.04216402236751,2,Petrol,Manual,1751726
BMW,6,149745,1682,24.41380220393237,2,Petrol,Manual,1043521
BMW,2,93204,2994,18.039026182781775,1,Diesel,Manual,397345
Audi,1,145507,1465,17.32743448989858,1,CNG,Automatic,1850870
Toyota,5,42384,2571,16.02830799836095,1,CNG,Manual,1525499
BMW,9,86929,1663,12.305365642663068,3,Diesel,Manual,1692832
Maruti,6,132959,1381,18.589108493230334,3,Petrol,Automatic,1008062
Honda,10,81153,1494,14.155187864889681,3,Diesel,Automatic,839724
Honda,12,80388,2051,23.819612683194634,2,Diesel,Automatic,867538
Tata,7,36401,2410,18.747862064156465,3,Diesel,Automatic,613151
BMW,5,124503,2039,18.892602707621652,2,Diesel,Automatic,2213338
BMW,10,132834,1198,15.32386991315515,3,Petrol,Manual,878387
Honda,6,39084,2746,10.779840279665612,2,Diesel,Manual,2262624
BMW,5,115641,1514,10.47615648059483,3,Petrol,Manual,651069
Toyota,11,110111,1503,16.350027162297962,3,Diesel,Automatic,2147175
Mahindra,9,143299,2514,11.268480671458567,1,CNG,Manual,267359
Hyundai,6,41041,2772,19.10270433310209,3,Petrol,Automatic,2242749
Audi,11,93920,881,23.214595084594862,3,CNG,Manual,1525831
Tata,8,70681,1403,23.24372224778083,1,Diesel,Manual,984681
Mahindra,2,86571,2770,19.885681151983484,2,Diesel,Automatic,486305
Honda,12,132556,2510,13.168477472093965,1,Diesel,Automatic,1105352
BMW,13,31160,2846,22.94495247038308,1,Petrol,Manual,1091255
Audi,9,22633,1702,23.29140152969812,2,CNG,Manual,2160022
BMW,5,22014,1164,12.94980377429438,3,Petrol,Manual,2478598
Maruti,7,85532,962,21.06139128656016,2,Petrol,Manual,617230
Maruti,10,54104,2663,14.297793233906845,3,Diesel,Manual,1853172
Audi,13,82231,915,22.039604685293945,3,CNG,Automatic,2081397
Audi,1,73388,1680,24.95856849855404,2,Diesel,Automatic,611377
Honda,10,21014,1639,10.450390079940892,1,Petrol,Automatic,1880664
Audi,5,97578,2994,23.46048798686398,2,Diesel,Automatic,962557
Toyota,12,45390,2146,19.33945800397987,3,CNG,Manual,1273078
BMW,14,28711,1836,24.600739287472315,2,Diesel,Manual,235757
Mahindra,10,96658,1742,16.975142762896414,2,CNG,Automatic,782933
Mercedes,14,62993,2524,22.710818958570606,3,CNG,Manual,521199
Audi,2,12421,1937,10.935911028974159,1,Diesel,Automatic,1368391
Tata,12,22727,821,15.029185751174435,2,Petrol,Manual,1126502
Maruti,6,117418,2549,11.00524806626815,3,Diesel,Manual,1611746
Toyota,11,9358,1482,24.630147002186057,3,Petrol,Manual,2478701
Mercedes,1,70108,2633,22.25460860907755,2,Petrol,Automatic,2465125
Mahindra,3,99018,925,22.788211318689555,1,Diesel,Automatic,946631
Mercedes,5,129457,1076,24.06947847150841,2,Petrol,Automatic,229092
Audi,4,36910,2799,11.27655229179678,1,Petrol,Automatic,1118746
Honda,3,131888,2027,15.7839638877,1,Diesel,Manual,857191
Maruti,10,60754,1495,11.065523335660032,1,Diesel,Manual,2369934
Maruti,13,114847,2109,13.16189652325043,1,Diesel,Manual,1083435
Honda,5,43467,856,13.440486655565085,2,Petrol,Manual,2090576
BMW,11,38893,818,17.03660816571368,3,CNG,Automatic,2139309
Hyundai,8,81329,912,14.028432511804638,3,Petrol,Manual,407580
Toyota,11,36007,1341,11.514671602266416,3,CNG,Manual,969032
Maruti,4,59253,1378,12.512366336411615,3,Diesel,Manual,1872992
Tata,1,17323,1888,12.209133453281364,3,CNG,Automatic,747952
Maruti,11,116335,824,24.596151968684474,3,Diesel,Automatic,2023948
Mercedes,7,117356,2372,21.389387603777102,2,Diesel,Automatic,364244
Maruti,8,115944,2848,24.51642197904343,1,CNG,Manual,676857
Maruti,3,21456,2372,16.59610729761863,3,Diesel,Automatic,1312916
Hyundai,6,36367,940,14.175527224939849,2,CNG,Manual,1860100
Hyundai,2,59624,2567,21.9743979581378,3,Diesel,Manual,211017
Mahindra,7,146178,1447,14.893808770617202,3,Petrol,Manual,2071621
BMW,8,73008,1000,14.490750605580224,1,Petrol,Automatic,409720
Tata,6,130926,1056,13.487589883117469,1,Diesel,Automatic,2418222
Maruti,6,120395,1346,11.94518467336353,1,Diesel,Manual,2000493
Maruti,5,121492,1601,13.846945915251489,3,CNG,Manual,2332162
Toyota,8,77240,1741,15.329796227108314,3,Petrol,Automatic,1895625
Hyundai,1,69315,1213,20.109913122185958,3,CNG,Automatic,978928
Tata,10,15756,2814,10.938472633291774,1,Diesel,Automatic,2162160
Mahindra,4,41378,2181,13.157604094980144,2,Diesel,Manual,1934872
BMW,4,140327,1898,22.135354604375145,3,CNG,Manual,1851722
Honda,3,130703,1709,12.203828853756562,3,Diesel,Manual,237493
BMW,3,61549,987,15.139677197837823,3,Petrol,Automatic,1350311
Mercedes,4,78794,2815,22.969883827872103,2,CNG,Automatic,1795776
Maruti,11,50113,2113,12.32387966715164,3,Petrol,Automatic,2268535
Mahindra,1,79069,2892,11.241052534272848,2,Petrol,Manual,831581
Mercedes,14,141321,2930,17.268069926200162,3,Petrol,Manual,1886519
Tata,11,130541,1946,14.536292669178046,2,CNG,Automatic,821747
Honda,13,14686,1157,18.45112546725781,3,Diesel,Manual,1481258
Hyundai,11,58363,2351,22.05707335725213,1,Petrol,Automatic,628886
Mahindra,2,102543,1889,12.057227322291148,1,Petrol,Manual,429171
Mahindra,9,136733,2480,18.710486268314277,1,Petrol,Automatic,367558
Maruti,10,100673,961,17.58263140584796,1,Diesel,Manual,1183061
Audi,2,47828,1249,12.161181790197993,3,Diesel,Manual,496412
Mahindra,5,53604,2297,19.359977282934736,1,CNG,Automatic,2404490
Toyota,9,15526,1836,14.104606267911574,2,Diesel,Automatic,1543679
Honda,9,73910,2958,17.317514778160188,1,CNG,Automatic,2441530
Honda,8,30592,2750,11.234084864155928,1,CNG,Automatic,2474406
Toyota,1,33982,2113,16.893760858204345,1,CNG,Automatic,1698118
Toyota,1,5207,2038,14.596952020642306,3,CNG,Manual,2000831
Toyota,9,93733,1773,22.335718167780314,1,CNG,Automatic,1794362
Honda,13,129982,1431,10.854680904960524,2,Petrol,Automatic,2268710
BMW,11,73619,2390,16.27910912377495,1,Diesel,Automatic,2324349
Honda,8,51479,1850,16.876471361971568,1,Petrol,Manual,1207705
Audi,10,146826,2388,20.87509114448678,1,CNG,Automatic,2405927
Maruti,9,86437,2493,18.614313626353166,2,Diesel,Automatic,1046056
Mercedes,7,103540,1236,20.008185057912716,1,Petrol,Automatic,516790
BMW,3,77982,2356,21.65573928477634,2,Petrol,Manual,2116195
Hyundai,3,107747,1876,22.933044604872833,2,CNG,Manual,245712
Mercedes,2,53231,2104,14.708132450837057,1,Petrol,Automatic,533964
Maruti,5,34301,2878,18.070340580458545,2,Petrol,Manual,2422494
Audi,12,23752,982,22.601621176587997,3,Petrol,Automatic,1864092
Audi,12,103452,2269,24.841766964475845,1,Petrol,Manual,536497
Hyundai,3,149467,2279,23.342789665656447,1,Petrol,Automatic,687707
BMW,14,126237,2389,15.572008939365652,2,CNG,Manual,292091
Toyota,6,61273,2387,12.927497758279756,2,CNG,Automatic,1596634
BMW,2,96878,1459,17.34088806109883,1,Petrol,Automatic,1430478
Audi,12,9895,959,21.124621777540632,3,CNG,Manual,1093150
Honda,3,124968,1811,17.38853606129946,2,CNG,Automatic,735827
Maruti,5,120700,852,17.247712949705026,2,Diesel,Automatic,1132196
Hyundai,12,81559,1845,22.57345631622701,3,Petrol,Automatic,2249736
Maruti,11,15699,1853,15.421056686007795,3,CNG,Automatic,1524054
Tata,11,14715,2028,22.896920122174684,1,CNG,Manual,621743
Tata,1,24169,2294,16.102072014275855,3,Petrol,Automatic,1763482
BMW,13,123413,2289,14.92349658517509,1,Diesel,Manual,1830872
Audi,1,124264,1835,16.809848667995485,3,Petrol,Manual,1725068
Audi,10,10782,2750,21.436704380123025,2,Diesel,Manual,1610038
Toyota,9,129481,1649,11.890030417959913,1,Petrol,Manual,619924
Toyota,7,40585,1153,12.94628823808026,1,Petrol,Automatic,1914796
Toyota,1,35682,1898,24.271672384946378,1,Petrol,Automatic,2183518
Honda,12,134992,2539,12.63237441072036,3,Petrol,Manual,2364452
Mercedes,14,89416,2264,18.51590976896582,2,Diesel,Automatic,591407
Mahindra,8,132810,1790,18.689716999929068,1,Diesel,Manual,1007274
Mercedes,3,43067,2064,17.344366930753672,1,CNG,Automatic,2335896
Maruti,8,23073,2684,19.67117872865228,1,Petrol,Automatic,578226
Mercedes,5,41035,2609,13.447400886964276,1,Diesel,Automatic,2164078
Honda,1,95373,1911,18.289934016651223,2,Diesel,Manual,2156678
Maruti,7,88362,1617,15.582598828703457,3,Diesel,Manual,2126252
Mercedes,5,95517,2599,19.925008894437838,2,Petrol,Automatic,2274278
Honda,6,70450,2760,12.118353150597242,1,CNG,Manual,2218852
Mahindra,6,15382,1688,18.563161252592145,2,Diesel,Manual,989622
Mercedes,8,140509,2655,12.779055330749856,1,Petrol,Automatic,2345265
Honda,9,66929,1980,14.179645946725547,3,Diesel,Manual,339861
Toyota,2,103864,1467,13.280647004853748,3,Diesel,Automatic,1280701
Audi,9,148401,1432,12.742566698032256,3,CNG,Automatic,1478343
Toyota,12,30169,2442,22.385664273410004,1,Diesel,Automatic,890778
Audi,11,92468,936,14.285613514913354,2,Diesel,Manual,378157
Hyundai,10,39594,2746,23.90685672796674,3,Petrol,Automatic,1953897
Hyundai,9,50033,2497,24.54889788017786,1,Petrol,Automatic,811709
Hyundai,13,68133,1227,18.56890704905646,1,CNG,Manual,1965018
Mahindra,10,78861,2275,12.145016839985896,2,Petrol,Manual,2041903
Toyota,10,36750,1618,15.618223650693718,3,Petrol,Manual,1429959
Audi,7,45461,2988,21.96598395022321,1,CNG,Manual,944854
Honda,1,83222,1906,15.510860930456058,2,Diesel,Automatic,2368169
Maruti,7,117020,997,11.305258274541831,3,CNG,Manual,1863229
Honda,10,29226,2795,18.35177366392282,2,Petrol,Manual,1858332
Maruti,5,11721,1270,22.67681277244052,2,CNG,Manual,457137
Tata,6,25609,2748,21.938895807152534,1,Diesel,Manual,1549651
Honda,10,135513,1728,12.626847101955299,1,CNG,Automatic,1304399
Mercedes,7,109211,2810,20.091469216187,1,Petrol,Manual,1024464
Mercedes,14,141728,1705,13.307563951534707,2,Petrol,Automatic,971279
BMW,5,129865,822,13.273113018282583,1,CNG,Manual,1267383
Toyota,7,79520,1034,23.11107659957778,2,Diesel,Automatic,863431
Maruti,9,69309,1924,13.745034291103453,2,CNG,Automatic,777701
Maruti,3,34984,1728,13.948710197770168,1,Diesel,Manual,1788404
Toyota,8,123947,1322,10.009800861419492,3,Diesel,Automatic,2005148
Mahindra,2,10901,2608,23.060035511882766,3,CNG,Manual,1318824
BMW,11,36055,1230,21.88892219813702,3,Diesel,Automatic,452515
Mahindra,7,119099,1592,19.40993402636017,2,Petrol,Automatic,1359070
Mahindra,13,16138,2429,21.253986459082633,2,CNG,Automatic,809723
Mahindra,2,28429,2536,12.280728511367377,2,Diesel,Manual,744075
Toyota,14,55200,1332,16.87485391881363,1,Petrol,Automatic,483126
Mahindra,4,106268,2546,15.268290810231713,2,CNG,Manual,2176230
Mercedes,7,22347,2475,11.406647893855247,1,Petrol,Automatic,972783
Hyundai,3,36822,2116,17.29195727822386,1,Petrol,Automatic,2409375
Tata,2,45108,1712,23.81109475513953,3,Petrol,Automatic,1819800
Maruti,11,133955,1924,10.600886785760418,3,Diesel,Automatic,1126097
Maruti,10,12967,2325,14.371913702406907,3,CNG,Automatic,2183438
Tata,7,115719,2127,13.113114043085552,1,CNG,Automatic,1199647
Toyota,1,16871,1823,13.572199804985445,1,Diesel,Manual,583609
Honda,14,33179,2376,23.62651827819063,1,CNG,Manual,2063082
Toyota,8,60099,2178,17.021035813514352,2,Petrol,Manual,1953313
Maruti,3,40262,2319,16.994491194097282,1,CNG,Automatic,2448885
Maruti,12,83213,2481,21.408634636829234,3,Diesel,Manual,1772088
Tata,12,122407,2797,12.317383060073887,3,Petrol,Automatic,1486353
Mahindra,13,91269,1026,17.30898031150076,1,Diesel,Manual,2464719
Toyota,2,65545,2059,16.449778211815897,1,Petrol,Manual,1262279
Audi,3,44922,1672,18.95366035819984,3,Petrol,Automatic,1170584
Tata,5,47913,1691,24.99336554875658,1,CNG,Automatic,1103923
Mercedes,11,102033,2278,21.54173341123071,3,Petrol,Manual,1861342
Maruti,8,109792,1836,15.967985545261408,2,Diesel,Manual,1019593
Tata,10,124863,1196,22.413295784110705,3,CNG,Manual,1651508
Toyota,7,49936,1923,12.560625449687203,2,Diesel,Manual,1224603
Maruti,7,33141,2878,10.456955294634401,1,Petrol,Automatic,2279368
Honda,12,145146,1448,13.066725586964097,1,Diesel,Manual,1579641
Tata,7,142478,1128,15.106173341713895,2,Diesel,Automatic,891898
BMW,8,102359,2282,17.6587113618934,1,Petrol,Automatic,824860
Maruti,1,128279,1751,19.226937108117998,2,CNG,Manual,1216783
Toyota,4,46568,2805,23.659085758216328,1,Diesel,Automatic,1517933
Hyundai,13,102539,2816,17.647810143256866,3,Petrol,Manual,2472447
Audi,6,51851,2678,17.51913466938594,1,CNG,Automatic,2126663
Mahindra,9,59823,1996,10.753645147344733,3,CNG,Automatic,985786
Toyota,13,28312,2572,10.523673289843357,3,CNG,Manual,1316850
Mercedes,2,103723,961,18.26739942874558,2,Diesel,Automatic,2126436
Mercedes,1,17411,2551,16.57267919872517,1,Diesel,Automatic,763889
Hyundai,13,62009,1575,22.58770592470448,2,Diesel,Manual,2108897
Mahindra,10,37371,2627,12.410193770677678,1,CNG,Automatic,477834
BMW,12,62022,1851,10.374574931755744,3,Diesel,Automatic,1512629
Hyundai,14,76229,1739,16.73558151895189,3,Petrol,Manual,1590752
Hyundai,2,104071,1339,13.562178351283862,1,Diesel,Manual,736350
Maruti,7,101774,1621,10.744215600082562,1,Diesel,Automatic,537530
Mercedes,3,31715,2261,20.868974302714435,2,CNG,Automatic,1938667
Maruti,10,32605,1888,11.673894999358712,1,Diesel,Automatic,1384801
Audi,2,104853,1155,19.124792500116577,1,Petrol,Manual,828758
Mahindra,14,36174,1034,14.215746252503337,1,CNG,Automatic,1932141
BMW,11,146028,2348,12.60244075532533,2,Petrol,Automatic,288887
BMW,7,81373,2896,15.696272843789762,1,CNG,Automatic,1035544
Toyota,13,74252,917,22.021686643344303,3,CNG,Automatic,2439164
Hyundai,13,75017,2901,15.88140365356859,2,Diesel,Automatic,2094018
Audi,2,68037,2473,21.261544738165835,2,Petrol,Automatic,486629
Mercedes,3,94818,1867,11.88229445198726,3,CNG,Manual,2140592
BMW,11,11548,2900,21.591571294976188,3,Diesel,Manual,1834461
Audi,7,121981,1357,13.553999873599729,3,CNG,Automatic,2214601
Honda,14,29022,2615,20.16089694833309,1,CNG,Automatic,2016418
Honda,4,111297,2805,18.486723322614946,3,CNG,Manual,958271
Maruti,13,141614,1197,23.93717075817531,1,CNG,Manual,1946988
Mercedes,14,65428,1474,15.80983776962971,2,CNG,Manual,350635
Toyota,1,64353,1186,10.992477832516606,2,CNG,Automatic,902682
BMW,13,118132,2958,10.287332283268794,3,Diesel,Automatic,1220346
Hyundai,14,21052,2864,22.4028784145913,1,CNG,Automatic,2086522
Hyundai,5,105689,1683,17.871034564921484,3,Petrol,Automatic,1529328
BMW,12,136743,1340,21.62866077752424,3,Diesel,Manual,452773
Mahindra,9,5163,970,13.516384000172721,1,Petrol,Manual,1034938
Toyota,8,46424,1539,15.176256182698506,3,CNG,Manual,1007400
Audi,12,146706,2201,10.451558083169784,2,Petrol,Manual,589821
Mahindra,9,140870,918,24.422384868611683,3,CNG,Automatic,2477732
Mahindra,10,27420,2951,20.0180186005122,1,CNG,Automatic,372903
Maruti,14,125575,2795,23.998076316389593,1,Diesel,Manual,302951
Honda,9,34300,2505,13.982446111436085,2,Diesel,Manual,505745
Mahindra,7,94881,2522,19.171954168384914,1,CNG,Manual,1979892
Mahindra,4,15749,2497,20.177499524389567,1,Diesel,Manual,2369330
Tata,5,109131,2244,14.763245503863827,2,Petrol,Manual,1408402
Maruti,1,133563,2559,22.72163852523445,3,Diesel,Automatic,2367045
Mercedes,14,42487,2324,24.207421943503718,2,Diesel,Automatic,548943
Tata,1,26223,1464,23.272826765440065,3,Petrol,Manual,713223
Tata,3,77930,832,21.08600463909059,2,Diesel,Manual,1523921
BMW,13,33380,2902,14.16197019587431,3,CNG,Manual,1120243
Honda,14,31035,2859,14.224240631584475,2,Petrol,Automatic,1390283
Mahindra,8,35620,2351,24.45040480669057,3,CNG,Automatic,1782828
Honda,14,122360,1519,10.15426743903538,2,Petrol,Automatic,621001
Toyota,2,58352,1283,20.740749598632167,3,CNG,Manual,212336
BMW,4,8191,1772,20.593692438328933,2,CNG,Automatic,1063907
Mercedes,2,95536,1106,19.340343114246963,1,Diesel,Manual,1669204
Honda,14,109576,1256,24.85163269130299,3,CNG,Automatic,1048182
Hyundai,5,8631,1130,14.678191536455879,2,Diesel,Automatic,2125656
Toyota,9,142244,1024,15.099577956898724,3,Petrol,Automatic,628670
Maruti,1,47080,2279,11.184091044198333,3,CNG,Manual,1049104
Mercedes,5,95353,1882,16.641972048156063,2,CNG,Manual,489372
Toyota,14,33671,1443,13.915727893522721,3,Petrol,Automatic,214429
BMW,9,127811,1415,15.150800532664663,2,Petrol,Manual,1332870
Tata,1,132734,994,22.518576853834414,1,CNG,Manual,1432663
Tata,9,56399,1288,24.032267702912435,3,Petrol,Manual,1074506
BMW,8,12099,2049,12.785996080077783,1,Diesel,Manual,1043810
Audi,4,61492,1902,15.587633973301987,3,Petrol,Manual,237310
Tata,12,101722,1947,23.92945843173091,3,Petrol,Manual,399899
Maruti,11,35111,2041,10.92712691033834,3,CNG,Manual,628472
Maruti,10,68936,1315,11.385407921670678,2,Diesel,Automatic,407500
Hyundai,5,65920,2425,12.44186483809344,1,Petrol,Manual,299862
Mahindra,13,68530,1927,18.92819251190312,3,Diesel,Manual,1220498
Audi,5,12788,1192,12.257084065089963,2,Diesel,Automatic,1562148
Mercedes,11,33082,1430,24.521145721761002,3,Diesel,Automatic,567968
Tata,12,128287,2647,16.700717908877806,2,CNG,Automatic,991841
Maruti,6,94570,1779,17.522769405252497,3,Petrol,Automatic,1291014
BMW,7,106015,1233,13.699879237081097,1,CNG,Manual,441482
Tata,8,88588,1077,17.064403786521,1,Petrol,Automatic,985372
Mahindra,14,93340,1032,19.928704489555173,3,Petrol,Automatic,2261439
BMW,8,99439,2352,21.26765705431064,2,CNG,Manual,912222
Toyota,11,146214,2394,21.308021240648696,3,Diesel,Manual,2060966
Toyota,14,120053,1913,18.668366690411325,2,Diesel,Manual,1455950
Tata,13,53355,825,23.56539662490786,3,Petrol,Automatic,2000266
Mahindra,2,145938,2217,22.26111770959164,2,CNG,Manual,537766
Audi,9,130426,1260,21.35572172047938,1,Diesel,Automatic,1750531
Tata,7,69027,1891,10.83408282520691,3,Diesel,Manual,281948
Maruti,4,97601,1806,10.10316943329474,1,Petrol,Manual,1848655
Honda,4,34956,2794,13.186709157932095,1,Petrol,Automatic,1815270
Tata,11,109797,1290,19.952853908701783,3,CNG,Manual,1289100
Tata,8,129917,1872,16.167962333238187,3,Petrol,Manual,2451556
BMW,4,131303,1015,16.036093889489678,2,Diesel,Manual,2407312
Honda,13,141511,2523,23.268803323444207,2,Diesel,Manual,1395412
Maruti,6,47533,2392,23.43344272197758,1,Diesel,Manual,1931499
Tata,5,83815,958,23.637628960803788,2,Diesel,Automatic,680891
BMW,3,44279,1485,14.708171147725409,2,CNG,Automatic,1416018
Mahindra,13,114787,2576,20.36583719108893,3,CNG,Manual,768933
Tata,14,66063,2852,14.074497719115545,2,Petrol,Automatic,584903
Honda,10,132896,2643,12.859147496116748,1,Petrol,Automatic,981608
Hyundai,11,102661,2389,12.769486860210538,2,Petrol,Automatic,1334077
Honda,2,143051,2496,15.13161431295391,1,CNG,Manual,1366026
Toyota,9,128257,2746,16.449364296697325,3,Diesel,Manual,1968407
Maruti,10,91205,2862,22.464237565826025,1,Petrol,Manual,1527676
Mercedes,9,11910,1945,11.798366402090682,2,Diesel,Automatic,1131398
